feature_set,model,calibration,n_features,cv_type,n_folds,auc,logloss,brier,accuracy,f1,site_auc_mean,site_auc_std,site_logloss_mean,site_logloss_std,elapsed
SBR_CNN,ET,isotonic,108,site_aware,5,0.9134380339787334,0.41943266330192974,0.11867865595603488,0.8120411160058737,0.8039816232771823,0.9295108130807519,0.047600104827978995,0.334046293696166,0.11645675182689413,15.934672832489014
SBR_CNN,ET,temp,108,site_aware,5,0.9374821780346319,0.3091844330727912,0.09599395175504134,0.8671071953010279,0.8724453840732911,0.9507370951904018,0.05123348990575553,0.286006849616926,0.09433949536407621,15.934672832489014
SBR_CNN,ET,gamma,108,site_aware,5,0.9374821780346319,0.3091844320746927,0.09599395224249252,0.8671071953010279,0.8724453840732911,0.9507370951904018,0.05123348990575553,0.2860068401323012,0.0943394737033315,15.934672832489014
SBR_CNN,XGB,raw,108,site_aware,5,0.9276041836723588,0.3645120499705318,0.1087172063708247,0.8568281938325991,0.8644892286309938,0.9436803251495081,0.05549452712337274,0.30809668409215096,0.1637993723141027,39.87081980705261
SBR_CNN,XGB,platt,108,site_aware,5,0.9146896529206255,0.38015245091761085,0.11274241435546628,0.8597650513950074,0.8683666436940042,0.9436803251495081,0.05549452712337274,0.33877976011369565,0.11445794776460856,39.87081980705261
SBR_CNN,XGB,isotonic,108,site_aware,5,0.9126914160707873,0.38267857620812556,0.11521598713227119,0.8384728340675477,0.8394160583941606,0.9366386399313769,0.06345263813998249,0.348107036200563,0.1379525853498629,39.87081980705261
SBR_CNN,XGB,temp,108,site_aware,5,0.9280003482765752,0.33476435518343794,0.10373813491295594,0.8568281938325991,0.8644892286309938,0.9436803251495081,0.05549452712337274,0.3012109378318945,0.1117145963665288,39.87081980705261
SBR_CNN,XGB,gamma,108,site_aware,5,0.9280003482765752,0.33476437671019843,0.10373813224680503,0.8568281938325991,0.8644892286309938,0.9436803251495081,0.05549452712337274,0.3012109747257157,0.1117145627492282,39.87081980705261
SBR_CNN,LGB,raw,108,site_aware,5,0.9292323766611161,0.3561358412037461,0.10596115453130904,0.8619676945668135,0.8688981868898187,0.9427046563564412,0.05804375462142999,0.3131586097226718,0.1401376678995958,21.4575297832489
SBR_CNN,LGB,platt,108,site_aware,5,0.9171167053035993,0.3734400578140182,0.11016117813710759,0.8663729809104258,0.8741355463347165,0.9427046563564412,0.05804375462142999,0.34106358597787584,0.09345884556432658,21.4575297832489
SBR_CNN,LGB,isotonic,108,site_aware,5,0.9181060284498428,0.364520089504937,0.1070401286070418,0.8458149779735683,0.8502139800285307,0.94107226430635,0.060895120680415575,0.2997142889168392,0.1168621957876003,21.4575297832489
SBR_CNN,LGB,temp,108,site_aware,5,0.9296045972507918,0.330124000557149,0.10176950348304754,0.8619676945668135,0.8688981868898187,0.9427046563564412,0.05804375462142999,0.30390363914761687,0.10217670433613846,21.4575297832489
SBR_CNN,LGB,gamma,108,site_aware,5,0.9296045972507918,0.33012402339917685,0.10176950318661449,0.8619676945668135,0.8688981868898187,0.9427046563564412,0.05804375462142999,0.3039037048089202,0.10217664940738308,21.4575297832489
SBR_PHYS_CNN,LR,raw,217,site_aware,5,0.8784492985492105,0.6642046962417361,0.1479641402596446,0.8201174743024964,0.8334466349422162,0.9207718874225852,0.0692626533388622,0.45495422302162164,0.29386995109237846,2.037073850631714
SBR_PHYS_CNN,LR,platt,217,site_aware,5,0.8681337817394239,0.45270930939879506,0.1417869139054073,0.815712187958884,0.8316566063044937,0.9207718874225852,0.0692626533388622,0.3996392964044611,0.17355000882576838,2.037073850631714
SBR_PHYS_CNN,LR,isotonic,217,site_aware,5,0.8751243456209663,0.5054398038011111,0.1404586609256671,0.8039647577092511,0.8086021505376344,0.9252712094901648,0.06613173246591054,0.39533332835191104,0.20362583753051164,2.037073850631714
SBR_PHYS_CNN,LR,temp,217,site_aware,5,0.8791132007705619,0.449538590359931,0.13683526785439457,0.8201174743024964,0.8334466349422162,0.920774801175499,0.06926075373168414,0.38260003205551263,0.18753619073517871,2.037073850631714
SBR_PHYS_CNN,LR,gamma,217,site_aware,5,0.8788607002535889,0.4699158797462076,0.13599238528032243,0.8201174743024964,0.8334466349422162,0.920774801175499,0.06926075373168414,0.3845950883767995,0.18883704191074993,2.037073850631714
SBR_PHYS_CNN,Ridge,raw,217,site_aware,5,0.8476616493072562,0.5340944184920079,0.16299949631381866,0.8069016152716594,0.8321633694958519,0.9112450499214833,0.07058901626878276,0.499189747109996,0.18295923281746926,0.6037273406982422
SBR_PHYS_CNN,Ridge,platt,217,site_aware,5,0.8574242770540155,0.5188846607237543,0.16894732921743277,0.7826725403817915,0.821256038647343,0.9112450499214833,0.07058901626878276,0.42584280220129545,0.13097935552544407,0.6037273406982422
SBR_PHYS_CNN,Ridge,isotonic,217,site_aware,5,0.8425496022028494,0.7065864058409526,0.1595343887785083,0.8069016152716594,0.8361370716510903,0.8987823432199761,0.07191339380675661,0.4251868457442799,0.2564741115089495,0.6037273406982422
SBR_PHYS_CNN,Ridge,temp,217,site_aware,5,0.8486194098888782,0.5274094700009467,0.1726125090939379,0.8069016152716594,0.8321633694958519,0.9112450499214833,0.07058901626878276,0.40289503672146576,0.24751939030298242,0.6037273406982422
SBR_PHYS_CNN,Ridge,gamma,217,site_aware,5,0.853281962538501,0.5159149229163809,0.1649094253271268,0.8069016152716594,0.8321633694958519,0.9112450499214833,0.07058901626878276,0.4167050224660178,0.22233562046998342,0.6037273406982422
SBR_PHYS_CNN,ET,raw,217,site_aware,5,0.9353663978406853,0.3268970555823915,0.0997817042109781,0.8663729809104258,0.8725490196078431,0.9505027038051106,0.05367552558851872,0.28902158617901863,0.09328029586850475,16.653867959976196
SBR_PHYS_CNN,ET,platt,217,site_aware,5,0.9328979876144142,0.3665386225667475,0.10747047798937862,0.8663729809104258,0.8723702664796634,0.9505027038051106,0.05367552558851872,0.31734600149354575,0.08182947571030606,16.653867959976196
SBR_PHYS_CNN,ET,isotonic,217,site_aware,5,0.9220763814063841,0.3830380672944133,0.11023860006566999,0.8303964757709251,0.8285077951002228,0.9343120141226622,0.056059112087303804,0.32914554328972945,0.1121205863619583,16.653867959976196
SBR_PHYS_CNN,ET,temp,217,site_aware,5,0.937958881596848,0.3064239981204992,0.09553191252484915,0.8663729809104258,0.8725490196078431,0.9505027038051106,0.05367552558851872,0.2807176221761442,0.09885555536001095,16.653867959976196
SBR_PHYS_CNN,ET,gamma,217,site_aware,5,0.937958881596848,0.30642400199124203,0.09553191307707315,0.8663729809104258,0.8725490196078431,0.9505027038051106,0.05367552558851872,0.2807176298603629,0.09885554779816295,16.653867959976196
SBR_PHYS_CNN,XGB,raw,217,site_aware,5,0.9295001142782512,0.3566644472748771,0.10632561984044883,0.8619676945668135,0.8703448275862069,0.937984503923173,0.05992502474284952,0.3321986493054765,0.14363297638007697,79.21310067176819
SBR_PHYS_CNN,XGB,platt,217,site_aware,5,0.919010459180897,0.3774044030996395,0.11113426384040585,0.8627019089574156,0.8716540837336993,0.937984503923173,0.05992502474284952,0.3391342676116137,0.084694419012564,79.21310067176819
